Date,Site,sitetype,design,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Other.wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown.Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown.coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
6/13/2019,EWB,Greenroof,Mitigation,81,1247,0,2,4,4,0,0,6,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,159,0,0,0,0
7/18/2019,EWB,Greenroof,Mitigation,0,179,1,0,13,19,0,0,1,8,0,0,11,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,9,0,0,122,0,1,0,0
8/22/2019,EWB,Greenroof,Mitigation,0,156,0,0,2,29,0,0,0,17,0,32,328,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,1,0,0,32,0,2,0,0
5/13/2021,EWB,Greenroof,Mitigation,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,EWB,Greenroof,Mitigation,0,68,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
7/21/2021,EWB,Greenroof,Mitigation,0,38,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
8/26/2021,EWB,Greenroof,Mitigation,3,44,0,2,0,13,0,0,0,0,0,0,159,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,21,0,0,0,0
9/19/2021,EWB,Greenroof,Mitigation,2,16,2,0,1,8,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,0,0,0,0
6/13/2019,HDB,Greenroof,Habitat,41,124,0,2,3,4,0,0,4,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,437,0,0,0,0
7/18/2019,HDB,Greenroof,Habitat,0,231,3,3,14,39,0,3,1,29,0,0,24,8,0,0,0,0,0,0,0,4,0,2,0,1,1,1,4,0,0,0,10,0,0,273,0,1,0,0
8/22/2019,HDB,Greenroof,Habitat,0,66,1,6,1,37,0,0,1,12,1,0,384,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,224,0,0,0,0
5/13/2021,HDB,Greenroof,Habitat,0,52,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,HDB,Greenroof,Habitat,2,49,0,4,0,5,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,26,1,0,0,0
7/21/2021,HDB,Greenroof,Habitat,0,62,0,3,2,19,0,2,0,2,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,13,2,0,0,0
8/26/2021,HDB,Greenroof,Habitat,0,69,13,1,0,46,3,0,0,4,0,0,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,71,0,0,0,0
9/19/2021,HDB,Greenroof,Habitat,0,15,2,1,1,28,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0
6/13/2019,SNC,Greenroof,Habitat,7,148,1,3,4,6,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,38,0,0,0,0
7/18/2019,SNC,Greenroof,Habitat,6,183,5,2,13,21,0,1,2,29,0,0,18,319,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,9,1,0,46,0,0,0,0
8/22/2019,SNC,Greenroof,Habitat,0,86,0,2,1,21,0,3,0,12,2,4,16,59,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,3,1,3,18,0,0,0,0
5/13/2021,SNC,Greenroof,Habitat,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,SNC,Greenroof,Habitat,0,47,0,2,0,4,0,0,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7/21/2021,SNC,Greenroof,Habitat,2,33,0,5,3,5,0,2,0,6,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8/26/2021,SNC,Greenroof,Habitat,3,19,0,1,1,5,0,0,0,0,0,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0
9/19/2021,SNC,Greenroof,Habitat,1,12,4,0,4,13,0,1,0,2,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1
6/13/2019,WSC,Greenroof,Mitigation,86,384,3,3,8,21,0,0,1,5,0,0,8,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,3,0,0,0,0,7,357,0,0,0,0
7/18/2019,WSC,Greenroof,Mitigation,9,358,18,3,3,75,0,0,23,75,1,1,2420,25,21,1,8,0,0,0,0,2,0,0,0,0,10,0,2,7,16,0,8,1,26,309,0,0,0,1
8/22/2019,WSC,Greenroof,Mitigation,0,220,11,7,1,47,0,0,2,7,1,1,1835,27,0,1,0,0,0,6,0,1,0,0,15,0,0,0,4,0,0,2,9,0,108,50,0,0,0,0
5/13/2021,WSC,Greenroof,Mitigation,0,27,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6/17/2021,WSC,Greenroof,Mitigation,4,48,1,3,0,9,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,64,2,0,0,0
7/21/2021,WSC,Greenroof,Mitigation,1,54,15,6,0,7,0,2,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,1,8,1,0,0,0
8/26/2021,WSC,Greenroof,Mitigation,2,117,1,3,1,29,0,0,0,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,18,1,0,0,0
9/19/2021,WSC,Greenroof,Mitigation,0,91,8,4,4,21,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0
6/13/2019,BFB,Natural,NA,55,927,0,13,31,30,0,8,0,9,1,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,5,1,1,12,0,0,1,0
7/18/2019,BFB,Natural,NA,9,1171,5,16,11,54,0,0,0,46,1,1,24,25,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,9,14,0,8,3,3,19,0,0,0,0
8/22/2019,BFB,Natural,NA,0,535,9,10,27,150,0,3,0,10,2,0,2267,34,0,0,0,0,0,0,1,0,0,2,12,0,0,0,9,1,5,0,4,3,2,19,0,0,0,1
5/13/2021,BFB,Natural,NA,0,72,0,22,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0
6/17/2021,BFB,Natural,NA,11,134,3,17,1,13,0,0,0,6,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,21,0,0,0,0
7/21/2021,BFB,Natural,NA,3,101,1,54,1,15,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,6,0,1,0,3,1,0,0,0,0
8/26/2021,BFB,Natural,NA,0,100,3,3,0,31,0,3,0,6,0,0,159,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,3,1,0,12,0,0,0,0
9/19/2021,BFB,Natural,NA,0,129,7,3,5,31,0,0,0,6,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,18,0,0,0,0
6/13/2019,DGM,Natural,NA,156,816,1,4,2,37,0,0,1,5,0,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,50,0,0,0,0
7/18/2019,DGM,Natural,NA,1,417,2,12,4,15,0,0,0,22,2,0,10,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,1,2,32,0,0,0,0
8/22/2019,DGM,Natural,NA,5,222,0,3,0,23,0,0,0,15,1,0,149,7,0,0,0,0,0,0,2,2,0,1,0,0,0,0,17,3,1,1,2,1,7,10,0,0,0,0
5/13/2021,DGM,Natural,NA,2,12396,0,3,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,DGM,Natural,NA,3,182,1,2,3,12,0,0,0,3,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,2,0,8,0,0,0,0
7/21/2021,DGM,Natural,NA,12,310,1,8,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0,0,0,1,0,1,0,0
8/26/2021,DGM,Natural,NA,0,145,2,3,2,14,0,2,0,4,2,0,595,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,2,25,0,0,0,0
9/19/2021,DGM,Natural,NA,0,84,1,1,0,34,0,0,0,6,2,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,1,19,0,0,0,0
6/13/2019,SSH,Natural,NA,71,439,7,22,10,35,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,1,2,0,4,0,0,0,0
7/18/2019,SSH,Natural,NA,12,336,8,18,11,37,0,1,0,36,0,1,44,31,22,0,0,0,0,0,0,8,0,1,0,1,0,0,1,0,1,0,6,2,2,35,2,0,0,0
8/22/2019,SSH,Natural,NA,7,155,3,5,8,52,0,2,0,14,0,0,1809,34,1,0,0,0,0,0,0,6,0,0,2,0,1,0,20,0,0,0,7,3,0,26,0,0,0,1
5/13/2021,SSH,Natural,NA,1,114,2,51,4,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0
6/17/2021,SSH,Natural,NA,7,151,9,6,5,9,1,0,0,6,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0
7/21/2021,SSH,Natural,NA,4,70,3,14,2,8,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,2,3,0,0,0,0
8/26/2021,SSH,Natural,NA,0,55,1,1,3,16,1,0,0,0,0,0,886,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,14,0,0,0,0
9/19/2021,SSH,Natural,NA,0,166,0,0,6,41,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1
